SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,3639 N Wayne Ave,Chicago,IL,60613,2995000,5,5.5,CHI - Lake View,5600,4133,2012,1,535,,Active,,,https://www.redfin.com/IL/Chicago/3639-N-Wayne-Ave-60613/home/40350591,MRED,11644800,N,Y,41.9482657,-87.662543
MLS Listing,,Condo/Co-op,5700 W Montrose Ave Unit 1D,Chicago,IL,60634,175000,2,1.0,CHI - Portage Park,880,,1969,1,199,353,Active,,,https://www.redfin.com/IL/Chicago/5700-W-Montrose-Ave-60634/unit-1D/home/12793945,MRED,11644792,N,Y,41.9607337,-87.769925
MLS Listing,,Single Family Residential,10205 S Homan Ave,Evergreen Park,IL,60805,325000,4,1.5,Evergreen Park,2128,4878,1948,1,153,,Active,,,https://www.redfin.com/IL/Evergreen-Park/10205-S-Homan-Ave-60805/home/13161743,MRED,11644787,N,Y,41.7077134,-87.7060424
MLS Listing,,Condo/Co-op,225 N Columbus Dr #5809,Chicago,IL,60601,400000,1,1.0,CHI - Loop,687,,2009,1,582,550,Active,,,https://www.redfin.com/IL/Chicago/225-N-Columbus-Dr-60601/unit-5809/home/52637966,MRED,11644771,N,Y,41.8864623,-87.6201026
MLS Listing,,Townhouse,446 W Superior St,Chicago,IL,60654,1750000,4,4.0,City Club,4063,,2002,1,431,602,Active,,,https://www.redfin.com/IL/Chicago/446-W-Superior-St-60654/home/12564828,MRED,11644769,N,Y,41.8957054,-87.6404722
MLS Listing,,Condo/Co-op,2909 N Sheridan Rd #408,Chicago,IL,60657,165000,1,1.0,CHI - Lake View,,,1954,1,,541,Active,,,https://www.redfin.com/IL/Chicago/2909-N-Sheridan-Rd-60657/unit-408/home/13369837,MRED,11644764,N,Y,41.9347042,-87.6390529
MLS Listing,,Single Family Residential,3854 N Claremont Ave,Chicago,IL,60618,2200000,6,5.0,CHI - North Center,5100,3720,2022,1,431,,Active,,,https://www.redfin.com/IL/Chicago/3854-N-Claremont-Ave-60618/home/13389599,MRED,11644762,N,Y,41.9520115,-87.6874466
MLS Listing,,Condo/Co-op,200 E Delaware St Unit 13C,Chicago,IL,60611,520000,2,2.0,CHI - Near North Side,1550,,1972,1,335,1503,Active,,,https://www.redfin.com/IL/Chicago/200-E-Delaware-Pl-60611/unit-13C/home/14120788,MRED,11644760,N,Y,41.8995075,-87.6211813
MLS Listing,,Condo/Co-op,3140 N Sheffield Ave #408,Chicago,IL,60657,499000,2,2.0,CHI - Lake View,,,2006,1,,369,Active,,,https://www.redfin.com/IL/Chicago/3140-N-Sheffield-Ave-60657/unit-408/home/26808974,MRED,11644759,N,Y,41.9393471,-87.654248
MLS Listing,,Single Family Residential,3855 W Marquette Rd,Chicago,IL,60629,325000,4,2.0,CHI - West Lawn,933,,,1,348,,Active,,,https://www.redfin.com/IL/Chicago/3855-W-Marquette-Rd-60629/home/13990675,MRED,11644754,N,Y,41.7711897,-87.7197822
MLS Listing,,Single Family Residential,7433 S Prairie Ave,Chicago,IL,60619,250000,3,1.5,CHI - Greater Grand Crossing,1398,5279,1958,1,179,,Active,,,https://www.redfin.com/IL/Chicago/7433-S-Prairie-Ave-60619/home/13920184,MRED,11644750,N,Y,41.7592374,-87.6180579
MLS Listing,,Condo/Co-op,2901 N Fairfield Ave Unit 2N,Chicago,IL,60618,367500,2,2.0,CHI - Avondale,1200,,2001,1,306,300,Active,,,https://www.redfin.com/IL/Chicago/2901-N-Fairfield-Ave-60618/unit-2N/home/12668639,MRED,11644749,N,Y,41.9340727,-87.6961788
MLS Listing,,Condo/Co-op,1819 S Michigan Ave #504,Chicago,IL,60616,242500,1,1.0,CHI - Near South Side,850,,2006,1,285,417,Active,October-8-2022 11:00 AM,October-8-2022 01:00 PM,https://www.redfin.com/IL/Chicago/1819-S-Michigan-Ave-60616/unit-504/home/26821309,MRED,11644753,N,Y,41.8572608,-87.6236009
MLS Listing,,Multi-Family (2-4 Unit),3009 W 54th Pl,Chicago,IL,60632,369000,7,3.0,CHI - Gage Park,,,1955,1,,,Active,,,https://www.redfin.com/IL/Chicago/3009-W-54th-Pl-60632/home/14016677,MRED,11644733,N,Y,41.7942968,-87.6991324
